Testbed,Query,MAP,NDCG,MAPwithBRF,NDCGwithBRF,MAPwithSW,NDCGwithSW,MAPwithThes,NDCGwithThes,MAPwithThesAndStop,NDCGwithThesAndStop,MAPwithCom,NDCGwithCom
7,2,0.20375992063492063,0.35810497175440265,0.20375992063492063,0.35810497175440265,0.20375992063492063,0.35810497175440265,0.16862103174603174,0.29345568839744024,0.16862103174603174,0.29345568839744024,0.16862103174603174,0.29345568839744024
7,3,0.4253571428571428,0.8548701075152179,0.4253571428571428,0.8548701075152179,0.4253571428571428,0.8548701075152179,0.37082341269841274,0.703290341428195,0.37082341269841274,0.703290341428195,0.37082341269841274,0.703290341428195
7,4,0.16288690476190476,0.3717509681663344,0.04322420634920635,0.2053782563522612,0.16288690476190476,0.3717509681663344,0.09825396825396823,0.244792461752585,0.09825396825396823,0.244792461752585,0.20539682539682538,0.30393126859711467
7,5,0.22753968253968254,0.48331483694589455,0.1097420634920635,0.22064258965644645,0.22753968253968254,0.48331483694589455,0.10164682539682542,0.1904010497362631,0.10164682539682542,0.1904010497362631,0.10164682539682542,0.1904010497362631
8,1,0.23631944444444447,0.4321572773044169,0.23802579365079363,0.46331803895032,0.2475,0.46818960590052416,0.18004960317460314,0.3377080127778819,0.2126785714285714,0.3577753243841305,0.212718253968254,0.41822930668985187
8,2,0.2737103174603175,0.46214934575197364,0.3231150793650794,0.5850150100220769,0.28947420634920634,0.5280351708390092,0.1533829365079365,0.26354379584752907,0.16778769841269842,0.30494929941804094,0.15859126984126984,0.2695840559960796
8,3,0.2958333333333333,0.5626517009642648,0.2958333333333333,0.5626517009642648,0.2958333333333333,0.5626517009642648,0.2934027777777778,0.5030040259641193,0.2934027777777778,0.5030040259641193,0.23858134920634919,0.4060092925133943
8,4,0.3232242063492063,0.6100458831490401,0.3232242063492063,0.6100458831490401,0.3257242063492063,0.6418562772485159,0.28982142857142856,0.5347156109683886,0.2957242063492064,0.5376208278373015,0.2957242063492064,0.5376208278373015
8,5,0.35947420634920635,0.6427951440361374,0.3630456349206349,0.6447614941174287,0.35697420634920635,0.6109847499366615,0.3481150793650794,0.6256296712343397,0.3334623015873016,0.5860914369019861,0.3452678571428572,0.597226102027977
9,1,0.38501984126984123,0.6597789938970352,0.41629960317460313,0.7977025709829685,0.38501984126984123,0.6597789938970352,0.13178571428571428,0.2703327692927854,0.13178571428571428,0.2703327692927854,0.13178571428571428,0.2703327692927854
9,2,0.2091468253968254,0.35801534338401336,0.2091468253968254,0.35801534338401336,0.26281746031746034,0.4797123144557702,0.2841269841269841,0.48605027667767203,0.2932142857142857,0.6238836950910295,0.26009920634920636,0.4843818113530601
9,3,0.21823412698412697,0.444804085907211,0.23260912698412697,0.435203704078006,0.21823412698412697,0.444804085907211,0.27844246031746034,0.5011788857875042,0.27844246031746034,0.5011788857875042,0.2861805555555556,0.5056624093084532
9,4,0.31190476190476196,0.6533343926529638,0.31190476190476196,0.6533343926529638,0.31190476190476196,0.6533343926529638,0.28115079365079365,0.5533854987470866,0.28115079365079365,0.5533854987470866,0.28115079365079365,0.5533854987470866
9,5,0.35057539682539685,0.7363055417750509,0.34640873015873014,0.7337883683353933,0.35057539682539685,0.7363055417750509,0.3044047619047619,0.6181515742220152,0.3044047619047619,0.6181515742220152,0.32738095238095244,0.6623014396948619
10,4,0.3997817460317461,0.7319339296344405,0.40644841269841275,0.706013133306095,0.3997817460317461,0.7319339296344405,0.41485119047619057,0.7407287442744838,0.41485119047619057,0.7407287442744838,0.4002678571428572,0.7282773615207742
10,5,0.3123214285714286,0.6828393368281324,0.3596428571428572,0.7285908038273053,0.3123214285714286,0.6828393368281324,0.3218353174603174,0.66909379120458,0.3218353174603174,0.66909379120458,0.36621031746031746,0.7068039756643442
11,1,0.04401785714285714,0.14577952493835503,0.023640873015873014,0.07438195292028636,0.04401785714285714,0.14577952493835503,0.021418650793650795,0.07232624621653219,0.021418650793650795,0.07232624621653219,0.016140873015873018,0.03919913448933767
